experiment,seed,scale,image_id,target_index,center_error_sq,center_error_l2,size_error_l1,size_error_relative,matched_iou,label_correct
baseline,42,large,3886,0,0.0005980998394079506,0.024456080049276352,0.060397207736968994,0.11222338676452637,0.8698477745056152,0
baseline,42,medium,3335,2,0.0011577897239476442,0.034026309847831726,0.04333285242319107,0.34124132990837097,0.4527711868286133,1
baseline,42,large,3335,5,0.001257149619050324,0.03545630723237991,0.013891428709030151,0.05011742562055588,0.7605211138725281,0
baseline,42,medium,3335,6,0.0008437743526883423,0.02904779464006424,0.07471977919340134,0.5872342586517334,0.5636496543884277,1
baseline,42,large,3335,1,0.0005038714152760804,0.02244707942008972,0.04018935561180115,0.19170859456062317,0.7274786829948425,1
baseline,42,medium,3335,0,2.4980978196254e-05,0.004998097661882639,0.00909954309463501,0.033194273710250854,0.9312627911567688,1
baseline,42,large,3335,3,0.00037085660733282566,0.01925763674080372,0.05121919512748718,0.14678841829299927,0.8494822978973389,1
baseline,42,large,3335,4,0.009715027175843716,0.09856484085321426,0.06760449707508087,0.23890137672424316,0.5230408906936646,1
baseline,42,large,5065,0,0.00013301979925017804,0.011533420532941818,0.05473142862319946,0.07584519684314728,0.9288023710250854,1
baseline,42,large,5253,0,7.089337304932997e-05,0.008419820107519627,0.04656320810317993,0.07459722459316254,0.9174821376800537,0
baseline,42,medium,4281,1,0.0007955462788231671,0.028205430135130882,0.07455608993768692,0.4950172007083893,0.541389524936676,1
baseline,42,large,4281,0,0.004818847868591547,0.06941792368888855,0.09242108464241028,0.1426633894443512,0.7117215991020203,0
baseline,42,large,1758,1,0.00046508540981449187,0.021565839648246765,0.11212664842605591,0.1924256980419159,0.8346359133720398,1
baseline,42,large,1758,0,0.006671454291790724,0.08167897164821625,0.024607285857200623,0.12830224633216858,0.328828901052475,0
baseline,42,large,756,0,0.0002094731171382591,0.014473185874521732,0.09670859575271606,0.10173920542001724,0.899154007434845,0
baseline,42,large,6295,1,0.0020652925595641136,0.04544549062848091,0.04075691103935242,0.20513573288917542,0.5560646653175354,0
baseline,42,large,6295,2,0.0002469387254677713,0.015714284032583237,0.03359769284725189,0.1241370439529419,0.8671432137489319,0
baseline,42,large,6295,0,4.379311576485634e-06,0.0020926804281771183,0.057278648018836975,0.245000422000885,0.769881546497345,0
baseline,42,large,9072,0,0.0011343533406034112,0.03368016332387924,0.032745152711868286,0.058659669011831284,0.7638172507286072,1
baseline,42,large,9032,2,0.0002065043372567743,0.014370258897542953,0.04975152015686035,0.13739630579948425,0.8374626636505127,0
baseline,42,large,9032,1,0.0007729132776148617,0.02780131809413433,0.010697811841964722,0.028519200161099434,0.8436599969863892,0
baseline,42,medium,9032,0,0.00015853281365707517,0.012590981088578701,0.015214778482913971,0.22847387194633484,0.6636925935745239,0
baseline,42,large,4168,1,0.0006751031032763422,0.025982746854424477,0.09263591468334198,0.3435930609703064,0.6855741739273071,1
baseline,42,large,4168,0,0.00019637234800029546,0.014013292267918587,0.05108073353767395,0.12343831360340118,0.8816259503364563,0
baseline,42,large,7691,0,2.7782138204202056e-05,0.005270876456052065,0.036506980657577515,0.06325927376747131,0.9397308826446533,1
baseline,42,large,140,1,0.0005052224732935429,0.022477153688669205,0.042539387941360474,0.09210322797298431,0.8895801305770874,0
baseline,42,large,140,0,0.02454097382724285,0.15665559470653534,0.03627774119377136,0.13570299744606018,0.5120314955711365,0
baseline,42,medium,6855,2,6.046106500434689e-05,0.007775671314448118,0.032610438764095306,0.15555942058563232,0.7337138056755066,1
baseline,42,large,6855,0,0.0008713876595720649,0.029519276693463326,0.11112141609191895,0.14827825129032135,0.8351598978042603,0
baseline,42,medium,6855,1,6.8144981923978776e-06,0.0026104594580829144,0.04752735048532486,0.3440014719963074,0.7010191082954407,1
baseline,42,medium,2063,1,0.00029296643333509564,0.017116261646151543,0.017647743225097656,0.13553088903427124,0.7130284905433655,1
baseline,42,large,2063,5,0.0013501174980774522,0.03674394637346268,0.038234591484069824,0.08422191441059113,0.7624337077140808,1
