experiment,seed,metric_type,key,value,scale
shared_e2e,44,class,bus,0.0342244207859039,
shared_e2e,44,class,car,0.1418127566576004,
shared_e2e,44,class,cat,0.2714045643806457,
shared_e2e,44,class,chair,0.1161185503005981,
shared_e2e,44,class,cow,0.0215504374355077,
shared_e2e,44,class,diningtable,0.0,
shared_e2e,44,class,dog,0.015161108225584,
shared_e2e,44,class,horse,0.03294063732028,
shared_e2e,44,class,motorbike,0.0266157574951648,
shared_e2e,44,class,person,0.1985347718000412,
shared_e2e,44,class,pottedplant,0.0238788593560457,
shared_e2e,44,class,sheep,0.0148514853790402,
shared_e2e,44,class,sofa,0.1162641644477844,
shared_e2e,44,class,train,0.0099927317351102,
shared_e2e,44,class,tvmonitor,0.0084994211792945,
shared_e2e,44,class_scale,aeroplane,,small
shared_e2e,44,class_scale,aeroplane,,medium
shared_e2e,44,class_scale,aeroplane,0.1815347295098173,large
shared_e2e,44,class_scale,bicycle,,small
shared_e2e,44,class_scale,bicycle,0.0164001015486164,medium
shared_e2e,44,class_scale,bicycle,0.0469158644800221,large
shared_e2e,44,class_scale,bird,,small
shared_e2e,44,class_scale,bird,0.2999999999999999,medium
shared_e2e,44,class_scale,bird,0.0654088542367307,large
shared_e2e,44,class_scale,boat,,small
shared_e2e,44,class_scale,boat,0.0,medium
shared_e2e,44,class_scale,boat,0.014026402640264,large
shared_e2e,44,class_scale,bottle,0.0,small
shared_e2e,44,class_scale,bottle,,medium
shared_e2e,44,class_scale,bottle,0.1586596159615961,large
shared_e2e,44,class_scale,bus,0.0,small
shared_e2e,44,class_scale,bus,0.0589108910891089,medium
shared_e2e,44,class_scale,bus,0.0297029702970297,large
shared_e2e,44,class_scale,car,0.2347731201691598,small
shared_e2e,44,class_scale,car,0.3377286478647864,medium
shared_e2e,44,class_scale,car,0.1566410065811454,large
shared_e2e,44,class_scale,cat,,small
shared_e2e,44,class_scale,cat,,medium
shared_e2e,44,class_scale,cat,0.2715140125647156,large
shared_e2e,44,class_scale,chair,,small
shared_e2e,44,class_scale,chair,0.1693785450023158,medium
shared_e2e,44,class_scale,chair,0.087157267380577,large
shared_e2e,44,class_scale,cow,0.0,small
shared_e2e,44,class_scale,cow,0.019086908690869,medium
shared_e2e,44,class_scale,cow,0.219026402640264,large
shared_e2e,44,class_scale,diningtable,,small
shared_e2e,44,class_scale,diningtable,0.0,medium
shared_e2e,44,class_scale,diningtable,0.0,large
shared_e2e,44,class_scale,dog,,small
shared_e2e,44,class_scale,dog,,medium
shared_e2e,44,class_scale,dog,0.0169322442689765,large
shared_e2e,44,class_scale,horse,0.0,small
shared_e2e,44,class_scale,horse,0.0,medium
shared_e2e,44,class_scale,horse,0.0658721663672158,large
shared_e2e,44,class_scale,motorbike,0.0,small
shared_e2e,44,class_scale,motorbike,0.0,medium
shared_e2e,44,class_scale,motorbike,0.0479724433960871,large
shared_e2e,44,class_scale,person,0.1083001184733857,small
shared_e2e,44,class_scale,person,0.1453111655603268,medium
shared_e2e,44,class_scale,person,0.2609927864114864,large
shared_e2e,44,class_scale,pottedplant,,small
shared_e2e,44,class_scale,pottedplant,0.0143014301430143,medium
shared_e2e,44,class_scale,pottedplant,0.0625,large
shared_e2e,44,class_scale,sheep,0.0,small
shared_e2e,44,class_scale,sheep,0.0561056105610561,medium
shared_e2e,44,class_scale,sheep,0.0,large
shared_e2e,44,class_scale,sofa,,small
shared_e2e,44,class_scale,sofa,0.0,medium
shared_e2e,44,class_scale,sofa,0.1412105841574466,large
shared_e2e,44,class_scale,train,,small
shared_e2e,44,class_scale,train,0.0,medium
shared_e2e,44,class_scale,train,0.0134019923435933,large
shared_e2e,44,class_scale,tvmonitor,0.0,small
shared_e2e,44,class_scale,tvmonitor,0.0101925192519251,medium
shared_e2e,44,class_scale,tvmonitor,0.0297029702970297,large
shared_e2e,44,iou,0.50,0.1045588329434394,
shared_e2e,44,iou,0.55,0.0973541960120201,
shared_e2e,44,iou,0.60,0.0925509333610534,
shared_e2e,44,iou,0.65,0.0870739370584487,
shared_e2e,44,iou,0.70,0.0750444456934928,
shared_e2e,44,iou,0.75,0.0635653510689735,
shared_e2e,44,iou,0.80,0.052005086094141,
shared_e2e,44,iou,0.85,0.0330680646002292,
shared_e2e,44,iou,0.90,0.0220688190311193,
shared_e2e,44,iou,0.95,0.0074758757837116,
shared_e2e_rep_projected,42,area,all,0.0945624485611915,
shared_e2e_rep_projected,42,area,small,0.0479336231946945,
shared_e2e_rep_projected,42,area,medium,0.1444925665855407,
shared_e2e_rep_projected,42,area,large,0.1366022378206253,
shared_e2e_rep_projected,42,class,aeroplane,0.0386764705181121,
shared_e2e_rep_projected,42,class,bicycle,0.2009485512971878,
shared_e2e_rep_projected,42,class,bird,0.2110453695058822,
shared_e2e_rep_projected,42,class,boat,0.0,
shared_e2e_rep_projected,42,class,bottle,0.1088852658867836,
shared_e2e_rep_projected,42,class,bus,0.0549751780927181,
shared_e2e_rep_projected,42,class,car,0.1644727140665054,
shared_e2e_rep_projected,42,class,cat,0.1727949678897857,
shared_e2e_rep_projected,42,class,chair,0.189163327217102,
shared_e2e_rep_projected,42,class,cow,0.1014542579650878,
shared_e2e_rep_projected,42,class,diningtable,0.0,
shared_e2e_rep_projected,42,class,dog,0.0176006499677896,
shared_e2e_rep_projected,42,class,horse,0.0282903704792261,
