experiment,seed,image_id,large_gt_count,matched_tp_score_mean,matched_tp_score_min,matched_iou_mean,matched_class_accuracy,fp_query_count,fp_score_mean,fp_score_q95,fp_score_q99,fp_score_top10_mean,fp_score_max,tp_minus_top_fp,tp_above_top_fp,duplicate_like_fp50_count,duplicate_like_fp50_rate,high_confidence_fp50_count,checkpoint_epoch,fingerprint
baseline,42,3673,2,0.05297743156552315,0.049040134996175766,0.9451799392700195,0.0,298,0.04735780134797096,0.09924759715795517,0.17199501395225525,0.1437542736530304,0.19338008761405945,-0.1404026597738266,0,0,0.0,0,7,c16286f63961237b
baseline,42,3330,1,0.08608762174844742,0.08608762174844742,0.8155086636543274,0.0,298,0.03691892325878143,0.09064992517232895,0.13532714545726776,0.1374666541814804,0.170711949467659,-0.08462432771921158,0,4,0.01342281885445118,0,7,c16286f63961237b
baseline,42,3838,4,0.1506323516368866,0.12004972249269485,0.8750931620597839,1.0,294,0.0924023762345314,0.21926693618297577,0.2511257827281952,0.25323253870010376,0.3064405024051666,-0.15580815076828003,0,92,0.31292515993118286,0,7,c16286f63961237b
baseline,42,6759,1,0.04229242354631424,0.04229242354631424,0.9457300305366516,0.0,299,0.034985192120075226,0.06857958436012268,0.12297029793262482,0.11365704238414764,0.15869681537151337,-0.11640439182519913,0,0,0.0,0,7,c16286f63961237b
baseline,42,3886,1,0.09226980060338974,0.09226980060338974,0.8698477745056152,0.0,299,0.032432567328214645,0.06557074189186096,0.09630526602268219,0.09313962608575821,0.10566039383411407,-0.013390593230724335,0,1,0.0033444815780967474,0,7,c16286f63961237b
baseline,42,3335,4,0.06883696466684341,0.05761990323662758,0.7151307463645935,0.75,293,0.07664122432470322,0.18084824085235596,0.24411047995090485,0.23810863494873047,0.2856680750846863,-0.21683111786842346,0,40,0.13651876151561737,0,7,c16286f63961237b
baseline,42,5065,1,0.07426809519529343,0.07426809519529343,0.9288023710250854,1.0,299,0.03585175424814224,0.08436058461666107,0.11243334412574768,0.10730957984924316,0.12462501972913742,-0.050356924533843994,0,39,0.1304347813129425,0,7,c16286f63961237b
baseline,42,5253,1,0.08066243678331375,0.08066243678331375,0.9174821376800537,0.0,299,0.029098013415932655,0.06144246831536293,0.08593191206455231,0.0860767513513565,0.10777763277292252,-0.027115195989608765,0,4,0.01337792631238699,0,7,c16286f63961237b
baseline,42,4281,1,0.024574480950832367,0.024574480950832367,0.7117215991020203,0.0,298,0.03629409521818161,0.07957932353019714,0.15056705474853516,0.13868188858032227,0.18852205574512482,-0.16394758224487305,0,0,0.0,0,7,c16286f63961237b
baseline,42,1758,2,0.05961787700653076,0.02121918275952339,0.5817323923110962,0.5,298,0.05951898172497749,0.12071347236633301,0.1295042634010315,0.12962082028388977,0.13656304776668549,-0.07694517076015472,0,30,0.10067114233970642,0,7,c16286f63961237b
baseline,42,756,1,0.05635988339781761,0.05635988339781761,0.899154007434845,0.0,299,0.03874793276190758,0.08671384304761887,0.1039600744843483,0.10198602825403214,0.11688011139631271,-0.0605202279984951,0,0,0.0,0,7,c16286f63961237b
baseline,42,6295,3,0.046259839087724686,0.037185221910476685,0.7310298681259155,0.0,297,0.03723878413438797,0.08844985067844391,0.14473822712898254,0.1366540491580963,0.17692071199417114,-0.13066087663173676,0,0,0.0,0,7,c16286f63961237b
baseline,42,9072,1,0.050276994705200195,0.050276994705200195,0.7638172507286072,1.0,299,0.034307997673749924,0.07075794786214828,0.08921781927347183,0.08574418723583221,0.09982827305793762,-0.04955127835273743,0,11,0.03678929805755615,0,7,c16286f63961237b
baseline,42,9032,2,0.08111133426427841,0.07829264551401138,0.8405613303184509,0.0,297,0.03979053720831871,0.0867699608206749,0.12539301812648773,0.11824703216552734,0.1483951061964035,-0.06728377193212509,0,0,0.0,0,7,c16286f63961237b
baseline,42,4168,2,0.0631222352385521,0.03014521487057209,0.7836000919342041,0.5,298,0.04369080811738968,0.11803516000509262,0.19619254767894745,0.19150251150131226,0.28199711441993713,-0.21887487173080444,0,5,0.016778523102402687,0,7,c16286f63961237b
baseline,42,7691,1,0.15123482048511505,0.15123482048511505,0.9397308826446533,1.0,299,0.030026163905858994,0.06691573560237885,0.10905362665653229,0.10442753881216049,0.1384495049715042,0.01278531551361084,1,16,0.05351170524954796,0,7,c16286f63961237b
baseline,42,140,2,0.03081110119819641,0.02758052386343479,0.7008057832717896,0.0,298,0.03723064064979553,0.07916088402271271,0.09168358892202377,0.09111981093883514,0.10303731262683868,-0.07222621142864227,0,0,0.0,0,7,c16286f63961237b
baseline,42,6855,1,0.05368668958544731,0.05368668958544731,0.8351598978042603,0.0,297,0.041737161576747894,0.08191169053316116,0.16029924154281616,0.13316380977630615,0.20419712364673615,-0.15051043033599854,0,5,0.016835017129778862,0,7,c16286f63961237b
baseline,42,2063,4,0.091637521982193,0.03862965479493141,0.8179795742034912,0.75,293,0.062474168837070465,0.1420728713274002,0.22533679008483887,0.20647510886192322,0.25558650493621826,-0.16394898295402527,0,37,0.12627986073493958,0,7,c16286f63961237b
