experiment,seed,scale,iou_threshold,AP,checkpoint_epoch,fingerprint
shared_e2e,43,large,0.9,0.04047999381212076,7,d1b7a9f86e187c5e
shared_e2e,43,small,0.95,0.0,7,d1b7a9f86e187c5e
shared_e2e,43,medium,0.95,0.0,7,d1b7a9f86e187c5e
shared_e2e,43,large,0.95,0.012881998344311052,7,d1b7a9f86e187c5e
separate_e2e,43,small,0.5,0.09807742679029807,7,d1b7a9f86e187c5e
separate_e2e,43,medium,0.5,0.14975600504692405,7,d1b7a9f86e187c5e
separate_e2e,43,large,0.5,0.18416876474885932,7,d1b7a9f86e187c5e
separate_e2e,43,small,0.55,0.09944732568494943,7,d1b7a9f86e187c5e
separate_e2e,43,medium,0.55,0.13529917626938764,7,d1b7a9f86e187c5e
separate_e2e,43,large,0.55,0.18246267901942254,7,d1b7a9f86e187c5e
separate_e2e,43,small,0.6,0.07102633148887029,7,d1b7a9f86e187c5e
separate_e2e,43,medium,0.6,0.11918823061540265,7,d1b7a9f86e187c5e
separate_e2e,43,large,0.6,0.1777448668396666,7,d1b7a9f86e187c5e
separate_e2e,43,small,0.65,0.060322698936560316,7,d1b7a9f86e187c5e
separate_e2e,43,medium,0.65,0.11246919983882134,7,d1b7a9f86e187c5e
separate_e2e,43,large,0.65,0.16692014051353815,7,d1b7a9f86e187c5e
separate_e2e,43,small,0.7,0.04423824024914568,7,d1b7a9f86e187c5e
separate_e2e,43,medium,0.7,0.09406619302242,7,d1b7a9f86e187c5e
separate_e2e,43,large,0.7,0.15310071438086933,7,d1b7a9f86e187c5e
separate_e2e,43,small,0.75,0.036865908813103525,7,d1b7a9f86e187c5e
separate_e2e,43,medium,0.75,0.08810113597861488,7,d1b7a9f86e187c5e
separate_e2e,43,large,0.75,0.1369458908197846,7,d1b7a9f86e187c5e
separate_e2e,43,small,0.8,0.034225644786700885,7,d1b7a9f86e187c5e
separate_e2e,43,medium,0.8,0.06947897072440262,7,d1b7a9f86e187c5e
separate_e2e,43,large,0.8,0.10839040981247222,7,d1b7a9f86e187c5e
separate_e2e,43,small,0.85,0.029152915291529146,7,d1b7a9f86e187c5e
separate_e2e,43,medium,0.85,0.042048048437802577,7,d1b7a9f86e187c5e
separate_e2e,43,large,0.85,0.0674005915947538,7,d1b7a9f86e187c5e
separate_e2e,43,small,0.9,0.0,7,d1b7a9f86e187c5e
separate_e2e,43,medium,0.9,0.002516501650165016,7,d1b7a9f86e187c5e
separate_e2e,43,large,0.9,0.04035369439279211,7,d1b7a9f86e187c5e
separate_e2e,43,small,0.95,0.0,7,d1b7a9f86e187c5e
separate_e2e,43,medium,0.95,0.0,7,d1b7a9f86e187c5e
separate_e2e,43,large,0.95,0.01022059300327208,7,d1b7a9f86e187c5e
baseline,44,small,0.5,0.07890701599710798,7,9fffb715f8680daa
baseline,44,medium,0.5,0.0961213626747983,7,9fffb715f8680daa
baseline,44,large,0.5,0.1642199147437843,7,9fffb715f8680daa
baseline,44,small,0.55,0.07856618995232856,7,9fffb715f8680daa
baseline,44,medium,0.55,0.09358224876784127,7,9fffb715f8680daa
baseline,44,large,0.55,0.15013285659279704,7,9fffb715f8680daa
baseline,44,small,0.6,0.07856618995232856,7,9fffb715f8680daa
baseline,44,medium,0.6,0.09080375674597231,7,9fffb715f8680daa
baseline,44,large,0.6,0.14790766909329753,7,9fffb715f8680daa
baseline,44,small,0.65,0.059731899115837504,7,9fffb715f8680daa
baseline,44,medium,0.65,0.08784934146215222,7,9fffb715f8680daa
baseline,44,large,0.65,0.14514371426583286,7,9fffb715f8680daa
baseline,44,small,0.7,0.044829482948294815,7,9fffb715f8680daa
baseline,44,medium,0.7,0.07799370749659364,7,9fffb715f8680daa
baseline,44,large,0.7,0.1331435306781784,7,9fffb715f8680daa
baseline,44,small,0.75,0.028602860286028594,7,9fffb715f8680daa
baseline,44,medium,0.75,0.06038650312275814,7,9fffb715f8680daa
baseline,44,large,0.75,0.12857864831614624,7,9fffb715f8680daa
baseline,44,small,0.8,0.0,7,9fffb715f8680daa
baseline,44,medium,0.8,0.04360705936990099,7,9fffb715f8680daa
baseline,44,large,0.8,0.07167319846266278,7,9fffb715f8680daa
baseline,44,small,0.85,0.0,7,9fffb715f8680daa
baseline,44,medium,0.85,0.014156844662121347,7,9fffb715f8680daa
baseline,44,large,0.85,0.043277713796189894,7,9fffb715f8680daa
baseline,44,small,0.9,0.0,7,9fffb715f8680daa
baseline,44,medium,0.9,0.0007644146767617939,7,9fffb715f8680daa
baseline,44,large,0.9,0.013373387547129294,7,9fffb715f8680daa
baseline,44,small,0.95,0.0,7,9fffb715f8680daa
baseline,44,medium,0.95,0.0,7,9fffb715f8680daa
baseline,44,large,0.95,0.0039580148150567965,7,9fffb715f8680daa
shared_detach,44,small,0.5,0.08882106338910843,7,9fffb715f8680daa
shared_detach,44,medium,0.5,0.12241429759975657,7,9fffb715f8680daa
shared_detach,44,large,0.5,0.18584936278688535,7,9fffb715f8680daa
shared_detach,44,small,0.55,0.07985859561565913,7,9fffb715f8680daa
shared_detach,44,medium,0.55,0.11433422426172972,7,9fffb715f8680daa
shared_detach,44,large,0.55,0.1828898392191966,7,9fffb715f8680daa
shared_detach,44,small,0.6,0.07985859561565913,7,9fffb715f8680daa
shared_detach,44,medium,0.6,0.10858915952330264,7,9fffb715f8680daa
shared_detach,44,large,0.6,0.17379110619655358,7,9fffb715f8680daa
shared_detach,44,small,0.65,0.04785478547854784,7,9fffb715f8680daa
shared_detach,44,medium,0.65,0.09475902538366733,7,9fffb715f8680daa
shared_detach,44,large,0.65,0.12583734346657774,7,9fffb715f8680daa
shared_detach,44,small,0.7,0.04785478547854784,7,9fffb715f8680daa
shared_detach,44,medium,0.7,0.0819219959162446,7,9fffb715f8680daa
shared_detach,44,large,0.7,0.10412991220974942,7,9fffb715f8680daa
shared_detach,44,small,0.75,0.04400440044004399,7,9fffb715f8680daa
shared_detach,44,medium,0.75,0.04975268495232597,7,9fffb715f8680daa
shared_detach,44,large,0.75,0.08779839180222204,7,9fffb715f8680daa
shared_detach,44,small,0.8,0.0374037403740374,7,9fffb715f8680daa
shared_detach,44,medium,0.8,0.03253034168979898,7,9fffb715f8680daa
shared_detach,44,large,0.8,0.07605008144316511,7,9fffb715f8680daa
shared_detach,44,small,0.85,0.028602860286028594,7,9fffb715f8680daa
shared_detach,44,medium,0.85,0.005990806972646416,7,9fffb715f8680daa
shared_detach,44,large,0.85,0.05497059997410573,7,9fffb715f8680daa
shared_detach,44,small,0.9,0.0,7,9fffb715f8680daa
shared_detach,44,medium,0.9,0.0010597153465346533,7,9fffb715f8680daa
shared_detach,44,large,0.9,0.01688721978100799,7,9fffb715f8680daa
shared_detach,44,small,0.95,0.0,7,9fffb715f8680daa
shared_detach,44,medium,0.95,0.0,7,9fffb715f8680daa
shared_detach,44,large,0.95,0.0035636094908296566,7,9fffb715f8680daa
shared_e2e,44,small,0.5,0.12073072691884573,7,9fffb715f8680daa
shared_e2e,44,medium,0.5,0.12765712853896893,7,9fffb715f8680daa
shared_e2e,44,large,0.5,0.13896970573070047,7,9fffb715f8680daa
shared_e2e,44,small,0.55,0.09135913591359135,7,9fffb715f8680daa
shared_e2e,44,medium,0.55,0.11888776997651714,7,9fffb715f8680daa
shared_e2e,44,large,0.55,0.13287023435165143,7,9fffb715f8680daa
shared_e2e,44,small,0.6,0.06985698569856984,7,9fffb715f8680daa
shared_e2e,44,medium,0.6,0.11434175539867969,7,9fffb715f8680daa
shared_e2e,44,large,0.6,0.1283046841978741,7,9fffb715f8680daa
shared_e2e,44,small,0.65,0.060322698936560316,7,9fffb715f8680daa
shared_e2e,44,medium,0.65,0.10944316748770044,7,9fffb715f8680daa
shared_e2e,44,large,0.65,0.12169194191909931,7,9fffb715f8680daa
shared_e2e,44,small,0.7,0.017785111844517785,7,9fffb715f8680daa
shared_e2e,44,medium,0.7,0.07651838742774779,7,9fffb715f8680daa
shared_e2e,44,large,0.7,0.11726234675258096,7,9fffb715f8680daa
shared_e2e,44,small,0.75,0.012336947980512335,7,9fffb715f8680daa
shared_e2e,44,medium,0.75,0.06327487959349905,7,9fffb715f8680daa
shared_e2e,44,large,0.75,0.10000206949820278,7,9fffb715f8680daa
shared_e2e,44,small,0.8,0.0044004400440044,7,9fffb715f8680daa
shared_e2e,44,medium,0.8,0.04667324188559207,7,9fffb715f8680daa
shared_e2e,44,large,0.8,0.08962231446862717,7,9fffb715f8680daa
shared_e2e,44,small,0.85,0.0044004400440044,7,9fffb715f8680daa
shared_e2e,44,medium,0.85,0.02655359285928592,7,9fffb715f8680daa
shared_e2e,44,large,0.85,0.056441203405260765,7,9fffb715f8680daa
shared_e2e,44,small,0.9,0.0,7,9fffb715f8680daa
shared_e2e,44,medium,0.9,0.021236619473803047,7,9fffb715f8680daa
shared_e2e,44,large,0.9,0.03420657285961518,7,9fffb715f8680daa
shared_e2e,44,small,0.95,0.0,7,9fffb715f8680daa
shared_e2e,44,medium,0.95,4.8344678217821784e-05,7,9fffb715f8680daa
shared_e2e,44,large,0.95,0.015215083583386649,7,9fffb715f8680daa
separate_e2e,44,small,0.5,0.09010180457741881,7,9fffb715f8680daa
separate_e2e,44,medium,0.5,0.14592646404279475,7,9fffb715f8680daa
separate_e2e,44,large,0.5,0.16385254173261057,7,9fffb715f8680daa
separate_e2e,44,small,0.55,0.07018933432335642,7,9fffb715f8680daa
separate_e2e,44,medium,0.55,0.13723952911805348,7,9fffb715f8680daa
separate_e2e,44,large,0.55,0.16281525476075662,7,9fffb715f8680daa
separate_e2e,44,small,0.6,0.06133113311331133,7,9fffb715f8680daa
separate_e2e,44,medium,0.6,0.12148543530797744,7,9fffb715f8680daa
separate_e2e,44,large,0.6,0.15750681986731033,7,9fffb715f8680daa
separate_e2e,44,small,0.65,0.05397087327780397,7,9fffb715f8680daa
separate_e2e,44,medium,0.65,0.11185727324625205,7,9fffb715f8680daa
separate_e2e,44,large,0.65,0.15458640034834456,7,9fffb715f8680daa
separate_e2e,44,small,0.7,0.05166588087380167,7,9fffb715f8680daa
separate_e2e,44,medium,0.7,0.102514618481677,7,9fffb715f8680daa
separate_e2e,44,large,0.7,0.13925922077964561,7,9fffb715f8680daa
separate_e2e,44,small,0.75,0.03096023888103096,7,9fffb715f8680daa
separate_e2e,44,medium,0.75,0.09415499200348872,7,9fffb715f8680daa
separate_e2e,44,large,0.75,0.1303775839637372,7,9fffb715f8680daa
separate_e2e,44,small,0.8,0.016187333019016186,7,9fffb715f8680daa
separate_e2e,44,medium,0.8,0.07615506587967322,7,9fffb715f8680daa
separate_e2e,44,large,0.8,0.06388059728162163,7,9fffb715f8680daa
separate_e2e,44,small,0.85,0.0016501650165016502,7,9fffb715f8680daa
separate_e2e,44,medium,0.85,0.0538347245174063,7,9fffb715f8680daa
separate_e2e,44,large,0.85,0.04216309879439054,7,9fffb715f8680daa
separate_e2e,44,small,0.9,0.0,7,9fffb715f8680daa
separate_e2e,44,medium,0.9,0.0007706683697894824,7,9fffb715f8680daa
separate_e2e,44,large,0.9,0.024794097332009466,7,9fffb715f8680daa
separate_e2e,44,small,0.95,0.0,7,9fffb715f8680daa
separate_e2e,44,medium,0.95,0.0,7,9fffb715f8680daa
separate_e2e,44,large,0.95,0.002511800843501221,7,9fffb715f8680daa
