experiment,seed,checkpoint_epoch,image_id,scale,query_index,target_index,target_area_pixels,center_error_x,center_error_y,center_error_l1,covariance_error_l1,predicted_var_x,predicted_var_y,target_var_x,target_var_y,off_diagonal_abs,valid_attention_mass
baseline,42,7,8292,small,30,4,83.19999694824219,0.012688800692558289,0.007698744535446167,0.020387545228004456,0.014827698469161987,0.0027928987983614206,0.0070568579249084,3.605331585276872e-05,3.792593997786753e-05,0.0025259603280574083,0.8390981554985046
baseline,42,7,8292,small,84,3,302.39971923828125,0.017417848110198975,0.02547389268875122,0.042891740798950195,0.011095041409134865,0.0031314115040004253,0.004291811492294073,0.00015551976684946567,0.00011614811955951154,0.001971743069589138,0.8796482086181641
baseline,42,7,8292,medium,98,0,1165.6002197265625,0.0002657771110534668,0.024526387453079224,0.02479216456413269,0.002809126628562808,0.0008873211918398738,0.0021410847548395395,0.00047125350101850927,0.0005694815772585571,0.0004107280110474676,0.836140513420105
baseline,42,7,8292,small,129,5,47.999935150146484,0.002651989459991455,0.02506771683692932,0.027719706296920776,0.013985729776322842,0.0032568126916885376,0.0049983239732682705,2.133329508069437e-05,2.1333316908567213e-05,0.00288663012906909,0.8995410203933716
baseline,42,7,8292,medium,179,1,1240.7999267578125,0.007860243320465088,0.02680593729019165,0.03466618061065674,0.003910192754119635,0.0011023780098184943,0.0029258588328957558,0.0002323199005331844,0.0013090375578030944,0.0007116566994227469,0.8334521055221558
baseline,42,7,8292,small,207,2,464.0001220703125,0.0206565260887146,0.05331858992576599,0.07397511601448059,0.006942292675375938,0.0018565081991255283,0.0026985970325767994,0.00017941350233741105,0.0002370369475102052,0.0014018187066540122,0.8901108503341675
baseline,42,7,8338,large,32,0,35103.2265625,0.03314197063446045,0.00842958688735962,0.04157155752182007,0.0700470581650734,0.006204298697412014,0.014429092407226562,0.07084032893180847,0.017119556665420532,0.0013602797407656908,0.8007477521896362
baseline,42,7,6949,large,61,0,106319.9921875,0.083282470703125,0.07962530851364136,0.16290777921676636,0.09761631488800049,0.005360256414860487,0.006156532093882561,0.06541632115840912,0.04328653961420059,0.0002151199005311355,0.7922048568725586
baseline,42,7,7154,large,228,0,60730.67578125,0.008793950080871582,0.04804423451423645,0.05683818459510803,0.07568646967411041,0.0038672643713653088,0.006692548282444477,0.009810439310967922,0.07426133751869202,0.0010872561251744628,0.8837010860443115
baseline,42,7,5940,large,28,5,22047.99609375,0.0055599212646484375,0.07066512107849121,0.07622504234313965,0.02273193746805191,0.002204089192673564,0.005609426181763411,0.0036053319927304983,0.02677609771490097,8.201213495340198e-05,0.852725088596344
baseline,42,7,5940,large,133,2,18687.998046875,0.013463050127029419,0.07121336460113525,0.08467641472816467,0.01430649682879448,0.0018822390120476484,0.0045087989419698715,0.005461332853883505,0.012699343264102936,0.0012684292159974575,0.8512663245201111
baseline,42,7,5940,large,179,1,34048.0,0.04042807221412659,0.10443651676177979,0.14486458897590637,0.033258382230997086,0.0013041814090684056,0.004522749688476324,0.007701333146542311,0.029893143102526665,0.0007454185979440808,0.8685747385025024
baseline,42,7,5940,large,208,4,28435.0,0.03484910726547241,0.042081475257873535,0.07693058252334595,0.03450504690408707,0.0010317899286746979,0.0036355694755911827,0.004880333319306374,0.03290116786956787,0.0006954527925699949,0.8222767114639282
baseline,42,7,5940,large,232,0,47429.99609375,0.030291736125946045,0.031731605529785156,0.0620233416557312,0.05276532098650932,0.0013326783664524555,0.011292433366179466,0.007803000044077635,0.05725308880209923,0.00016717088874429464,0.843964695930481
